District,State_UT,NFHS_Households_Surveyed,Female_6plus_Ever_Attended_School_pct,Population_Below_15_pct,Sex_Ratio_Females_per_1000_Males,Households_Electricity_pct,Improved_Drinking_Water_pct,Improved_Sanitation_pct,Clean_Cooking_Fuel_pct,Health_Insurance_Coverage_pct,Women_15_49_Literate_pct,ANC_4plus_pct,Institutional_Births_pct,Skilled_Birth_Attendance_pct,Fully_Vaccinated_12_23m_pct,Diarrhoea_Taken_to_Health_Facility_pct,ARI_Taken_to_Health_Facility_pct,Under5_Stunted_pct,Children_6_59m_Anaemic_pct,Population_2011,Rural_Population_2011,Sub_Centres,PHCs,CHCs,Sub_Divisional_Hospitals,District_Hospitals,PHCs_per_100k_rural,CHCs_per_100k_rural,SubCentres_per_100k_rural,PHC_coverage_vs_general_norm,CHC_coverage_vs_general_norm,District_Match_Score,District_Match_Method
West Kameng,Arunachal Pradesh,959,73.01,21.68,970.52,97.5,99.76,88.88,88.93,38.29,73.69,27.59,93.57,92.03,,,,24.23,66.62,83947,68015,22,5,5,0,1,7.351319561861354,7.351319561861354,32.34580607218996,2.2053958685584063,8.821583474233625,100.0,Exact
East Kameng,Arunachal Pradesh,940,63.05,31.23,985.38,86.28,93.58,75.55,49.47,25.05,62.16,29.12,75.96,80.31,60.83,,,35.67,51.65,78690,60340,17,8,1,0,1,13.25820351342393,1.6572754391779914,28.17368246602585,3.977461054027179,1.988730527013589,100.0,Exact
Papum Pare,Arunachal Pradesh,950,77.64,30.51,1039.37,98.72,92.89,75.7,81.3,26.94,78.22,39.28,87.99,86.52,60.72,,44.04,29.72,53.38,176573,79610,37,17,4,0,0,21.354101243562365,5.024494410249969,46.476573294812205,6.40623037306871,6.029393292299963,100.0,Exact
Upper Subansiri,Arunachal Pradesh,988,61.35,27.31,1052.16,86.96,94.73,80.93,32.77,21.49,64.31,32.11,76.95,81.34,68.45,,,36.79,60.42,83448,70043,23,5,4,0,1,7.1384720814356895,5.710777665148552,32.83697157460417,2.141541624430707,6.8529331981782615,100.0,Exact
Upper Siang,Arunachal Pradesh,935,69.45,25.8,894.05,99.46,99.82,91.75,36.32,34.6,74.37,34.01,75.98,78.75,,,,30.37,51.01,35320,28780,13,2,4,0,1,6.949270326615705,13.89854065323141,45.17025712300209,2.0847810979847115,16.67824878387769,100.0,Exact
Lower Subansiri,Arunachal Pradesh,986,73.12,22.0,1015.7,97.83,98.14,82.8,60.81,24.45,76.8,39.08,89.77,92.61,,,,30.69,52.44,83030,70224,23,5,2,0,1,7.120072909546594,2.848029163818637,32.75233538391433,2.136021872863978,3.4176349965823647,100.0,Exact
Dibang Valley,Arunachal Pradesh,925,67.57,22.06,982.93,79.23,100.0,94.99,49.26,28.69,77.83,40.38,85.52,88.09,,,,16.88,88.56,8004,5620,5,1,0,0,1,17.793594306049823,0.0,88.9679715302491,5.338078291814947,0.0,100.0,Exact
Lower Dibang Valley,Arunachal Pradesh,968,76.81,24.52,1009.65,84.39,99.52,89.88,57.38,36.79,81.56,48.62,90.12,93.74,73.8,,,14.26,51.51,54080,42691,13,4,4,0,1,9.36965636785271,9.36965636785271,30.451383195521306,2.810896910355813,11.24358764142325,100.0,Exact
Anjaw,Arunachal Pradesh,932,61.52,23.18,939.24,96.39,86.61,86.82,29.01,17.47,67.89,32.32,77.95,78.98,,,,23.56,57.11,21167,20185,8,6,4,0,1,29.72504334902155,19.816695566014367,39.633391132028734,8.917513004706466,23.78003467921724,100.0,Exact
East Siang,Arunachal Pradesh,976,76.82,23.09,1058.6,97.28,97.27,83.89,52.44,30.5,83.76,34.26,90.84,89.23,,,,24.62,51.51,99214,71579,16,9,2,0,1,12.573520166529288,2.7941155925620644,22.352924740496515,3.772056049958787,3.352938711074477,100.0,Exact
Kurung Kumey,Arunachal Pradesh,542,72.57,30.96,997.3,99.2,99.79,78.33,57.28,13.43,76.45,44.11,69.16,69.71,,,,29.2,62.39,92076,89731,13,4,2,0,1,4.457768218341487,2.2288841091707434,14.487746709609834,1.3373304655024465,2.674660931004893,100.0,Exact
Lohit,Arunachal Pradesh,964,73.26,27.67,1001.05,98.91,96.88,83.66,63.88,31.88,73.43,39.61,90.24,92.3,,,,24.46,52.48,145726,113296,13,4,2,0,1,3.530574777573789,1.7652873887868945,11.474368027114814,1.0591724332721366,2.118344866544273,100.0,Exact
Tirap,Arunachal Pradesh,961,69.01,26.83,963.97,98.77,93.81,86.67,50.42,30.84,75.09,35.68,70.24,73.85,66.33,,,38.62,48.39,111975,91165,10,7,1,0,1,7.678385345253113,1.096912192179016,10.96912192179016,2.3035156035759337,1.316294630614819,100.0,Exact
West Siang,Arunachal Pradesh,945,73.6,23.69,1018.03,88.21,99.06,87.74,57.13,26.56,77.92,30.42,84.57,87.56,,,,24.49,45.58,112274,87306,15,6,2,0,1,6.872379905161158,2.290793301720386,17.18094976290289,2.0617139715483472,2.7489519620644627,100.0,Exact
Kokrajhar,Assam,897,75.17,29.49,1024.62,93.94,87.3,72.2,43.32,50.18,73.73,36.93,81.91,81.98,51.06,,,34.62,74.65,887142,832201,161,46,2,1,1,5.527510781650106,0.2403265557239176,19.34628773577537,1.6582532344950318,0.2883918668687012,100.0,Exact
Goalpara,Assam,917,78.5,29.98,1006.91,89.56,90.73,75.31,36.26,71.13,74.06,44.06,92.34,94.16,70.32,,50.91,38.92,60.69,1008183,870121,155,37,7,0,1,4.252282153861359,0.8044858128926897,17.813614428338127,1.275684646158408,0.9653829754712276,100.0,Exact
Barpeta,Assam,914,75.39,30.05,1026.78,88.87,98.14,63.65,38.66,58.9,74.79,43.59,87.6,87.57,54.62,,,29.78,63.45,1693622,1546269,264,50,11,1,1,3.2335900157087805,0.7113898034559316,17.07335528294236,0.970077004712634,0.8536677641471181,100.0,Exact
Lakhimpur,Assam,916,83.23,28.09,982.98,97.21,81.22,74.22,36.07,66.97,83.86,51.67,96.16,96.82,69.04,,48.01,38.5,69.34,1042137,950804,149,29,9,1,0,3.0500502732424346,0.9465673261786868,15.670947955624923,0.9150150819727304,1.135880791414424,100.0,Exact
Dhemaji,Assam,918,77.31,30.64,1027.58,95.01,95.25,70.75,21.57,66.83,81.47,62.16,87.25,91.48,89.71,,,37.18,73.06,686133,637848,98,23,5,0,1,3.605874753859854,0.7838858160564899,15.3641619947072,1.081762426157956,0.940662979267788,100.0,Exact
Dibrugarh,Assam,920,79.51,24.03,1002.19,94.38,98.06,75.28,44.74,58.82,76.58,75.64,93.09,95.34,,,56.12,27.33,66.44,1326335,1082605,234,31,10,0,0,2.8634635901367536,0.9236979323021786,21.614531615870977,0.8590390770410261,1.1084375187626143,100.0,Exact
Golaghat,Assam,919,77.63,24.3,1001.77,96.37,93.7,73.14,33.12,69.34,75.12,65.74,90.36,92.11,,,,26.28,75.14,1066888,969152,143,39,9,1,1,4.02413656474939,0.9286468995575512,14.755167404081092,1.2072409694248167,1.1143762794690617,100.0,Exact
Dima Hasao,Assam,918,85.1,27.7,959.26,95.87,50.15,83.79,48.18,61.87,87.71,46.88,89.54,91.85,,,,30.59,73.09,214102,151613,76,12,3,0,1,7.914888564964746,1.9787221412411864,50.12762757811006,2.374466569489424,2.374466569489424,100.0,Exact
Cachar,Assam,907,80.49,30.89,1012.38,81.73,43.79,57.64,42.96,57.87,77.18,32.69,79.2,80.24,70.37,,50.4,28.67,61.78,1736617,1421153,270,35,7,0,1,2.46278901708683,0.492557803417366,18.99865813181269,0.738836705126049,0.5910693641008392,100.0,Exact
Karimganj,Assam,917,82.14,32.25,999.79,87.07,62.25,61.45,39.61,64.44,80.66,42.78,76.35,78.28,75.05,,59.59,29.09,64.11,1228686,1118986,232,29,7,0,1,2.59163206688913,0.6255663609732383,20.73305653511304,0.7774896200667389,0.7506796331678859,100.0,Exact
Hailakandi,Assam,905,81.45,33.68,1054.08,91.22,41.18,60.0,35.23,53.63,82.19,43.13,83.03,84.79,68.62,,45.41,42.86,59.45,659296,611156,107,13,4,0,1,2.127116480898494,0.6544973787379982,17.50780488124145,0.6381349442695482,0.7853968544855978,100.0,Exact
Bongaigaon,Assam,916,77.04,28.93,998.48,96.96,95.33,72.48,49.84,57.6,75.76,33.91,84.53,89.1,67.93,,46.64,46.2,77.18,738804,628994,108,29,4,0,1,4.610536825470513,0.6359361138580019,17.17027507416605,1.383161047641154,0.7631233366296022,100.0,Exact
Chirang,Assam,912,71.45,27.97,1014.51,97.75,92.12,77.08,44.45,61.49,71.47,56.53,83.65,82.94,71.06,,33.23,42.7,70.42,482162,446825,87,24,4,0,1,5.371230347451463,0.8952050579085772,19.470710009511556,1.611369104235439,1.0742460694902929,100.0,Exact
Kamrup,Assam,894,79.39,25.57,996.72,94.75,92.14,68.74,57.41,47.04,79.6,46.86,85.03,88.54,63.59,,52.91,22.64,72.92,1517542,1375148,280,65,13,1,1,4.726763955588781,0.945352791117756,20.36144473176705,1.418029186676634,1.1344233493413072,100.0,Exact
Nalbari,Assam,886,81.8,24.48,1042.72,94.74,99.54,68.12,51.07,52.52,83.88,55.9,91.82,91.38,,,64.11,27.49,70.98,771639,688909,124,44,11,0,1,6.386910317618147,1.5967275794045368,17.999474531469325,1.916073095285444,1.916073095285444,100.0,Exact
Baksa,Assam,921,74.05,26.54,1056.88,98.09,89.78,68.94,35.18,68.99,74.8,56.01,89.88,92.1,70.46,,58.99,41.17,78.6,950075,937833,157,35,8,0,1,3.732007724189701,0.8530303369576461,16.7407203627938,1.1196023172569105,1.0236364043491752,100.0,Exact
Darrang,Assam,918,75.15,29.24,928.99,89.5,99.72,67.85,30.11,53.65,75.55,37.48,84.41,87.03,57.12,,62.39,42.04,66.78,928500,873006,159,34,7,0,1,3.894589498812151,0.8018272497554426,18.21293324444505,1.168376849643645,0.9621926997065312,100.0,Exact
Udalguri,Assam,916,70.64,27.2,1086.83,95.53,82.32,73.82,34.02,70.57,70.02,49.81,86.15,87.87,,,55.59,33.78,77.56,831668,794094,150,24,7,0,1,3.0223122199638834,0.8815077308227993,18.88945137477427,0.906693665989165,1.0578092769873593,100.0,Exact
Jorhat,Assam,917,84.43,21.58,1008.55,95.05,85.92,80.36,48.31,60.05,85.09,66.95,96.49,97.4,69.16,,56.64,38.68,74.13,1092256,871722,110,36,6,1,0,4.12975696380268,0.6882928273004467,12.618701833841522,1.238927089140804,0.825951392760536,100.0,Exact
Karbi Anglong,Assam,919,76.35,29.92,993.98,97.02,79.57,75.16,33.39,54.09,78.78,63.93,74.87,78.27,64.32,,,31.61,67.46,956313,843347,115,24,6,0,0,2.8458036846043204,0.7114509211510801,13.636142655395702,0.8537411053812961,0.8537411053812961,100.0,Exact
Nagaon,Assam,922,81.32,31.06,1050.35,94.48,96.12,66.09,38.57,59.39,78.44,59.44,83.67,86.74,58.23,,42.53,38.89,68.62,2823768,2454234,258,72,13,0,1,2.933705587975719,0.5296968422733936,10.51244502357966,0.8801116763927156,0.6356362107280724,100.0,Exact
Sivasagar,Assam,919,87.07,23.84,988.58,97.03,92.65,82.26,45.54,60.66,86.64,80.89,95.25,95.61,,,58.29,26.1,67.46,1151050,1040954,150,27,2,1,1,2.593774556800781,0.1921314486519097,14.409858648893229,0.7781323670402343,0.2305577383822916,100.0,Exact
Sonitpur,Assam,909,74.85,26.61,1026.99,88.24,82.87,72.15,45.75,66.92,76.91,45.49,83.49,82.77,70.9,,42.55,36.67,69.42,1924110,1750265,146,29,6,0,1,1.656891956360894,0.3428052323505298,8.341593987196225,0.4970675869082682,0.4113662788206357,100.0,Exact
Pashchim Champaran,Bihar,934,59.75,36.52,1087.97,93.45,99.74,43.27,31.42,19.96,52.53,25.39,79.45,78.43,62.07,59.71,60.21,43.47,61.57,3935042,3541877,554,44,11,2,0,1.2422791644091538,0.3105697911022884,15.641424024606165,0.3726837493227461,0.3726837493227461,100.0,Exact
Purba Champaran,Bihar,934,58.2,39.96,1185.07,94.84,99.87,48.33,44.17,19.38,50.15,21.65,61.51,67.42,68.29,56.0,59.77,49.11,60.99,5099371,4698028,413,90,14,3,1,1.915697394736685,0.2979973725145955,8.790922489180568,0.5747092184210056,0.3575968470175146,92.85714285714286,Fuzzy
Sheohar,Bihar,944,56.23,36.19,1066.04,97.63,100.0,57.91,31.3,18.12,52.5,25.33,74.27,77.03,62.91,,73.31,34.44,73.11,656246,628130,96,13,2,0,1,2.0696352665849425,0.3184054256284527,15.283460430165729,0.6208905799754828,0.3820865107541433,100.0,Exact
Sitamarhi,Bihar,911,59.14,38.2,1209.07,93.07,99.65,50.65,40.48,20.7,51.74,20.28,64.36,69.56,66.62,63.86,67.65,54.18,70.03,3423574,3233076,208,45,13,1,1,1.3918633524235124,0.4020938573667925,6.433501717868681,0.4175590057270537,0.482512628840151,100.0,Exact
Madhubani,Bihar,918,55.57,34.69,1227.33,98.59,100.0,38.21,39.96,19.15,53.15,34.88,73.72,78.54,74.09,68.42,66.49,43.33,71.01,4487379,4325884,436,85,13,3,1,1.964916303812123,0.3005166111712658,10.078864805436298,0.5894748911436367,0.3606199334055189,100.0,Exact
Supaul,Bihar,945,50.93,39.76,1125.53,97.29,99.71,50.7,14.96,14.21,42.14,30.94,80.35,79.41,73.56,61.35,62.87,42.32,63.64,2229076,2123518,173,29,6,1,1,1.365658308523874,0.2825499948670084,8.146858185332077,0.4096974925571622,0.3390599938404101,100.0,Exact
Araria,Bihar,947,53.01,40.54,1094.2,96.21,100.0,32.24,15.17,19.46,43.65,25.83,66.21,70.31,61.61,65.86,57.86,49.89,75.83,2811569,2642792,221,39,6,1,1,1.4757120499835024,0.2270326230743849,8.362368283239846,0.4427136149950507,0.2724391476892619,100.0,Exact
Kishanganj,Bihar,929,55.98,39.94,1199.27,95.78,100.0,52.37,15.25,8.05,48.03,17.13,54.63,64.87,67.32,64.04,67.74,38.75,67.46,1690400,1529277,258,16,4,0,1,1.0462460365257569,0.2615615091314392,16.870717338977833,0.313873810957727,0.313873810957727,100.0,Exact
Purnia,Bihar,904,53.55,40.23,1128.44,92.4,99.63,35.63,19.28,10.17,47.52,11.13,68.87,74.21,62.7,61.92,63.72,43.51,68.03,3264619,2921614,472,51,5,2,1,1.745610474210488,0.1711382817853419,16.15545380053628,0.5236831422631463,0.2053659381424103,100.0,Exact
Katihar,Bihar,892,57.51,38.95,1053.26,92.04,99.16,44.55,16.93,8.37,49.69,15.3,66.87,73.75,73.65,64.61,65.95,43.94,65.56,3071029,2797207,340,57,7,2,1,2.0377469382852254,0.2502496239999399,12.15498173713994,0.6113240814855676,0.3002995487999279,100.0,Exact
Madhepura,Bihar,931,58.01,38.32,1147.68,96.96,99.25,34.64,13.35,9.54,47.63,20.87,74.95,77.12,72.04,48.6,58.2,46.3,67.72,2001762,1913301,272,27,8,1,1,1.4111736731439537,0.4181255327833937,14.216268114635389,0.4233521019431862,0.5017506393400725,100.0,Exact
Saharsa,Bihar,907,50.16,38.83,1128.16,97.19,100.0,40.52,25.19,12.82,43.13,11.66,70.39,72.86,72.19,71.26,75.51,47.78,69.25,1900661,1744121,166,40,4,1,1,2.293418862567448,0.2293418862567448,9.517688279654909,0.6880256587702345,0.2752102635080937,100.0,Exact
Darbhanga,Bihar,913,54.85,37.06,1121.86,97.23,99.75,48.72,41.64,25.33,49.38,24.87,69.9,75.87,66.27,57.9,65.41,45.44,68.94,3937385,3554057,259,63,10,2,0,1.772622104822742,0.2813685880671019,7.287446430937939,0.5317866314468226,0.3376423056805223,100.0,Exact
Muzaffarpur,Bihar,914,65.09,34.9,1097.22,96.58,99.89,55.18,41.54,13.22,62.99,28.18,72.51,78.21,74.93,61.58,80.29,42.62,64.64,4801062,4327625,520,88,14,0,1,2.033447907339476,0.3235030761676439,12.015828543369633,0.6100343722018429,0.3882036914011727,100.0,Exact
Gopalganj,Bihar,912,63.31,34.56,1156.69,96.23,99.92,60.1,39.35,12.73,63.31,27.88,85.92,88.02,75.83,,61.48,34.16,56.08,2562012,2399207,189,30,10,1,1,1.2504131573474069,0.416804385782469,7.877602891288663,0.375123947204222,0.5001652629389627,100.0,Exact
Siwan,Bihar,941,70.69,31.54,1140.73,95.29,99.81,47.71,48.04,8.2,70.9,30.26,86.36,86.92,76.12,49.07,71.56,36.65,63.92,3330464,3147551,379,53,14,1,1,1.6838488081686365,0.4447902512143568,12.04110751501723,0.5051546424505909,0.5337483014572282,100.0,Exact
Saran,Bihar,945,64.77,35.26,1076.82,93.62,99.74,37.15,36.83,9.41,65.56,30.74,72.97,79.09,71.95,72.07,71.42,39.67,69.82,3951862,3598660,394,52,14,1,1,1.4449822989668375,0.3890336958756871,10.948519726787191,0.4334946896900513,0.4668404350508245,100.0,Exact
Vaishali,Bihar,925,64.51,34.69,1069.05,96.45,99.19,52.6,40.91,13.49,62.41,24.52,81.58,84.82,70.98,69.94,61.38,38.26,77.14,3495021,3261942,336,49,5,1,1,1.5021726321314113,0.1532829216460624,10.30061233461539,0.4506517896394234,0.1839395059752748,100.0,Exact
Samastipur,Bihar,923,60.91,37.82,1070.62,95.73,98.58,48.77,36.11,19.04,54.25,23.53,83.38,83.71,71.4,56.32,78.65,44.0,67.19,4261566,4113769,358,59,12,4,1,1.4342079003463732,0.2917033017653641,8.702481836000029,0.430262370103912,0.3500439621184369,100.0,Exact
Begusarai,Bihar,966,64.99,36.41,1075.89,96.17,99.05,62.23,45.23,13.23,62.31,21.56,85.99,85.6,65.75,63.12,75.43,37.76,74.53,2970541,2400718,290,40,7,1,1,1.666168204678767,0.2915794358187842,12.07971948392106,0.4998504614036301,0.349895322982541,100.0,Exact
Khagaria,Bihar,909,60.58,41.25,1110.9,94.48,98.8,65.03,33.16,15.61,51.82,17.43,74.15,82.34,64.68,69.22,81.23,34.82,67.05,1666886,1579727,187,26,4,0,1,1.6458539988238474,0.2532083075113611,11.837488376156132,0.4937561996471542,0.3038499690136333,100.0,Exact
Bhagalpur,Bihar,966,65.07,35.08,985.89,94.52,97.99,60.94,49.16,16.27,65.56,27.62,77.17,77.47,66.79,76.23,69.54,39.95,78.7,3037766,2435234,327,66,11,2,1,2.710211831799326,0.4517019719665543,13.42786771209666,0.8130635495397979,0.5420423663598652,100.0,Exact
Banka,Bihar,979,59.32,36.1,1082.8,96.22,96.31,38.19,32.34,13.64,55.73,31.74,79.79,80.4,88.14,,72.63,46.74,77.8,2034763,1963450,242,34,8,0,1,1.731645827497517,0.4074460770582393,12.325243831011738,0.5194937482492551,0.4889352924698871,100.0,Exact
Munger,Bihar,972,69.49,31.31,1032.15,98.41,97.74,62.83,59.39,15.24,69.5,36.79,93.24,92.29,73.4,67.14,69.88,35.45,74.3,1367765,987645,154,32,3,1,1,3.2400305777885783,0.3037528666676792,15.59264715560753,0.9720091733365732,0.364503440001215,100.0,Exact
Lakhisarai,Bihar,969,61.17,37.75,1074.15,97.98,96.62,51.55,42.56,15.06,57.89,28.04,75.78,76.2,68.93,61.44,79.34,42.66,77.24,1000912,857901,102,19,3,0,1,2.2147077576550207,0.3496906985771085,11.88948375162169,0.6644123272965062,0.4196288382925303,100.0,Exact
Sheikhpura,Bihar,958,58.53,37.5,1074.01,97.27,98.43,54.16,40.25,9.74,55.01,28.35,89.2,91.76,82.75,,68.98,53.55,80.05,636342,527340,75,15,2,0,1,2.844464671748777,0.3792619562331702,14.222323358743884,0.8533394015246331,0.4551143474798043,100.0,Exact
Nalanda,Bihar,962,59.57,37.2,1048.05,98.86,98.9,52.53,40.99,12.8,56.07,29.31,80.31,85.1,75.22,74.44,84.29,42.61,80.31,2877653,2419759,367,65,8,2,1,2.686217925008234,0.3306114369240904,15.166799668892644,0.8058653775024703,0.3967337243089084,100.0,Exact
Bhojpur,Bihar,974,67.92,34.16,1002.91,97.91,99.7,45.87,42.86,9.63,64.1,33.48,86.9,87.53,61.9,61.74,81.88,40.65,67.68,2728407,2338546,300,39,10,1,1,1.6677029230983695,0.4276161341277871,12.828484023833612,0.5003108769295109,0.5131393609533446,100.0,Exact
Buxar,Bihar,975,64.84,32.68,1005.18,98.53,99.81,52.36,44.65,11.44,68.14,27.44,89.45,90.59,75.02,87.18,81.58,39.64,68.34,1706352,1541853,149,35,4,1,1,2.269995907521664,0.2594281037167616,9.663696863449369,0.6809987722564992,0.3113137244601139,100.0,Exact
Kaimur (Bhabua),Bihar,973,62.28,35.81,1018.15,96.68,97.96,59.08,29.03,18.07,66.04,25.58,83.33,86.04,88.85,,77.54,44.1,71.4,1626384,1560813,181,27,5,1,1,1.729867703562182,0.3203458710300337,11.59652053128722,0.5189603110686546,0.3844150452360405,100.0,Exact
Rohtas,Bihar,975,70.52,32.67,1039.89,98.48,99.58,68.95,47.37,17.19,76.51,34.22,89.08,91.25,86.84,,83.06,39.96,70.34,2959918,2532153,255,48,6,2,1,1.8956200513949988,0.2369525064243748,10.07048152303593,0.5686860154184996,0.2843430077092498,100.0,Exact
Aurangabad,Bihar,970,65.0,35.16,1074.09,97.7,99.97,47.12,38.92,15.35,67.56,29.31,77.48,84.61,89.74,,84.35,41.23,68.42,2540073,2303219,248,68,8,1,1,2.9523896772299985,0.3473399620270586,10.76753882283882,0.8857169031689995,0.4168079544324704,100.0,Exact
Gaya,Bihar,963,59.59,36.29,1079.81,97.92,99.21,44.41,34.69,9.71,59.4,25.07,76.58,77.66,85.03,,79.02,47.38,76.65,4391418,3809817,473,73,18,2,1,1.916102531958884,0.4724636380172591,12.415294487897976,0.5748307595876653,0.566956365620711,100.0,Exact
Nawada,Bihar,963,61.42,33.43,1099.08,97.4,99.25,47.92,40.74,8.09,62.1,31.62,79.94,79.47,74.45,,84.44,49.43,73.34,2219146,2003567,173,45,8,1,1,2.2459942692208448,0.3992878700837057,8.634600190560136,0.6737982807662534,0.4791454441004468,100.0,Exact
Jamui,Bihar,979,53.07,37.0,1089.67,97.89,90.48,37.57,40.22,14.29,48.68,37.91,73.39,72.73,66.39,,63.66,43.04,81.88,1760405,1615072,277,36,7,0,1,2.229002793683501,0.433417209882903,17.150938162509163,0.6687008381050504,0.5201006518594837,100.0,Exact
Jehanabad,Bihar,949,61.72,36.0,1084.54,99.27,99.75,45.51,34.25,13.18,63.18,17.43,89.11,88.25,70.27,87.86,77.99,41.25,61.91,1125313,990117,110,33,6,0,1,3.332939440490366,0.6059889891800666,11.109798134967887,0.9998818321471098,0.7271867870160799,100.0,Exact
Arwal,Bihar,966,62.64,36.64,1075.58,97.35,99.86,43.42,29.3,15.55,62.54,34.51,79.16,83.11,84.22,83.09,86.25,45.62,65.8,700843,648994,62,30,3,0,1,4.62253888325624,0.4622538883256239,9.553247025396228,1.386761664976872,0.5547046659907487,100.0,Exact
Chandigarh,Chandigarh,761,86.66,23.29,917.45,99.85,99.12,84.98,95.81,32.23,82.96,78.74,96.87,97.03,,,,25.3,54.58,1055450,28991,0,43,2,1,1,148.3218930012763,6.898692697733779,0.0,44.49656790038288,8.278431237280534,100.0,Exact
